Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/20/ 16:54:29,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-4,0,38,0,134,180,130,1
2022/09/20/ 16:54:29,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-10,-4,0,39,0,134,180,130,1
2022/09/20/ 16:54:30,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-4,0,37,0,134,180,130,1
2022/09/20/ 16:54:30,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-10,-4,0,39,0,134,180,130,1
2022/09/20/ 16:54:31,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-10,-4,0,37,0,134,180,130,1
2022/09/20/ 16:54:31,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-4,0,38,0,134,180,130,1
2022/09/20/ 16:54:32,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-4,0,37,0,134,180,130,1
2022/09/20/ 16:54:32,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-10,-4,0,39,0,134,180,130,1
2022/09/20/ 16:54:33,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-5,0,37,0,134,180,130,1
2022/09/20/ 16:54:33,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-4,0,38,0,134,180,130,1
2022/09/20/ 16:54:34,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-5,0,37,0,134,180,130,1
2022/09/20/ 16:54:34,+UUDF:CCF957966B2C,:CCF957966B2C,-60,5,-35,0,38,0,134,180,130,1
2022/09/20/ 16:54:35,+UUDF:CCF957966B2C,:CCF957966B2C,-67,5,-35,0,39,0,134,180,130,1
2022/09/20/ 16:54:35,+UUDF:CCF957966B2C,:CCF957966B2C,-69,5,-35,0,37,0,134,180,130,1
2022/09/20/ 16:54:36,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,-35,0,38,0,134,180,130,1
2022/09/20/ 16:54:36,+UUDF:CCF957966B2C,:CCF957966B2C,-67,5,-35,0,39,0,134,180,130,1
2022/09/20/ 16:54:37,+UUDF:CCF957966B2C,:CCF957966B2C,-69,5,-35,0,37,0,134,180,130,1
2022/09/20/ 16:54:37,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,-35,0,38,0,134,180,130,1
2022/09/20/ 16:54:38,+UUDF:CCF957966B2C,:CCF957966B2C,-69,5,33,0,37,0,134,180,130,1
2022/09/20/ 16:54:38,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,34,0,38,0,134,180,130,1
2022/09/20/ 16:54:38,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:39,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:39,+UUDF:CCF957966B2C,:CCF957966B2C,-69,5,33,0,37,0,134,180,130,1
2022/09/20/ 16:54:40,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,34,0,38,0,134,180,130,1
2022/09/20/ 16:54:40,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:41,+UUDF:CCF957966B2C,:CCF957966B2C,-69,5,34,0,37,0,134,180,130,1
2022/09/20/ 16:54:41,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:42,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,33,0,37,0,134,180,130,1
2022/09/20/ 16:54:42,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,34,0,38,0,134,180,130,1
2022/09/20/ 16:54:43,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:43,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,34,0,37,0,134,180,130,1
2022/09/20/ 16:54:44,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,34,0,38,0,134,180,130,1
2022/09/20/ 16:54:44,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:45,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,34,0,37,0,134,180,130,1
2022/09/20/ 16:54:45,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,34,0,38,0,134,180,130,1
2022/09/20/ 16:54:45,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,33,0,39,0,134,180,130,1
2022/09/20/ 16:54:46,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,34,0,37,0,134,180,130,1
2022/09/20/ 16:54:46,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,33,0,38,0,134,180,130,1
2022/09/20/ 16:54:47,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,32,0,39,0,134,180,130,1
2022/09/20/ 16:54:47,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,33,0,37,0,134,180,130,1
2022/09/20/ 16:54:48,+UUDF:CCF957966B2C,:CCF957966B2C,-61,5,32,0,38,0,134,180,130,1
2022/09/20/ 16:54:48,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:49,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,32,0,37,0,134,180,130,1
2022/09/20/ 16:54:49,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:50,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:50,+UUDF:CCF957966B2C,:CCF957966B2C,-61,5,-34,0,38,0,134,180,130,1
2022/09/20/ 16:54:50,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:51,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:51,+UUDF:CCF957966B2C,:CCF957966B2C,-61,5,-34,0,38,0,134,180,130,1
2022/09/20/ 16:54:52,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:52,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:53,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:53,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:54,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-34,0,38,0,134,180,130,1
2022/09/20/ 16:54:54,+UUDF:CCF957966B2C,:CCF957966B2C,-66,4,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:55,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:55,+UUDF:CCF957966B2C,:CCF957966B2C,-61,5,-34,0,38,0,134,180,130,1
2022/09/20/ 16:54:56,+UUDF:CCF957966B2C,:CCF957966B2C,-66,4,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:56,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:56,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:57,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-34,0,38,0,134,180,130,1
2022/09/20/ 16:54:57,+UUDF:CCF957966B2C,:CCF957966B2C,-67,4,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:58,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:58,+UUDF:CCF957966B2C,:CCF957966B2C,-67,4,-34,0,39,0,134,180,130,1
2022/09/20/ 16:54:59,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,37,0,134,180,130,1
2022/09/20/ 16:54:59,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-34,0,38,0,134,180,130,1
2022/09/20/ 16:55:00,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,39,0,134,180,130,1
2022/09/20/ 16:55:00,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,37,0,134,180,130,1
2022/09/20/ 16:55:01,+UUDF:CCF957966B2C,:CCF957966B2C,-61,5,-34,0,38,0,134,180,130,1
2022/09/20/ 16:55:01,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-34,0,39,0,134,180,130,1
2022/09/20/ 16:55:02,+UUDF:CCF957966B2C,:CCF957966B2C,-67,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:55:02,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:55:03,+UUDF:CCF957966B2C,:CCF957966B2C,-61,5,-34,0,38,0,134,180,130,1
2022/09/20/ 16:55:03,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:55:03,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-34,0,37,0,134,180,130,1
2022/09/20/ 16:55:04,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,-34,0,38,0,134,180,130,1
2022/09/20/ 16:55:04,+UUDF:CCF957966B2C,:CCF957966B2C,-68,5,-33,0,37,0,134,180,130,1
2022/09/20/ 16:55:05,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,39,0,37,0,134,180,130,1
2022/09/20/ 16:55:06,+UUDF:CCF957966B2C,:CCF957966B2C,-62,6,39,0,38,0,134,180,130,1
2022/09/20/ 16:55:06,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:07,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,39,0,37,0,134,180,130,1
2022/09/20/ 16:55:07,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:08,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,39,0,37,0,134,180,130,1
2022/09/20/ 16:55:08,+UUDF:CCF957966B2C,:CCF957966B2C,-62,6,39,0,38,0,134,180,130,1
2022/09/20/ 16:55:09,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:09,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,39,0,"
",0,134,180,130,1
2022/09/20/ 16:55:09,+UUDF:CCF957966B2C,:CCF957966B2C,-63,5,39,0,38,0,134,180,130,1
2022/09/20/ 16:55:10,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:10,+UUDF:CCF957966B2C,:CCF957966B2C,-69,5,39,0,37,0,134,180,130,1
2022/09/20/ 16:55:11,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,39,0,38,0,134,180,130,1
2022/09/20/ 16:55:11,+UUDF:CCF957966B2C,:CCF957966B2C,-65,5,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:12,+UUDF:CCF957966B2C,:CCF957966B2C,-70,5,39,0,37,0,134,180,130,1
2022/09/20/ 16:55:12,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,39,0,38,0,134,180,130,1
2022/09/20/ 16:55:13,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,39,0,37,0,134,180,130,1
2022/09/20/ 16:55:13,+UUDF:CCF957966B2C,:CCF957966B2C,-65,6,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:14,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,39,0,"
",0,134,180,130,1
2022/09/20/ 16:55:14,+UUDF:CCF957966B2C,:CCF957966B2C,-65,6,39,0,39,0,134,180,130,1
2022/09/20/ 16:55:15,+UUDF:CCF957966B2C,:CCF957966B2C,-70,6,39,0,37,0,134,180,130,1
