Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/22/ 14:00:31,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-2,1,0,37,0,134,160,100,1
2022/09/22/ 14:00:31,+UUDF:CCF957966B2C,:CCF957966B2C,-65,0,1,0,38,0,134,160,100,1
2022/09/22/ 14:00:32,+UUDF:CCF957966B2C,:CCF957966B2C,-67,0,1,0,39,0,134,160,100,1
2022/09/22/ 14:00:32,+UUDF:CCF957966B2C,:CCF957966B2C,-67,0,1,0,37,0,134,160,100,1
2022/09/22/ 14:00:32,+UUDF:CCF957966B2C,:CCF957966B2C,-67,0,1,0,39,0,134,160,100,1
2022/09/22/ 14:00:33,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-11,0,39,0,134,160,100,1
2022/09/22/ 14:00:33,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-11,0,37,0,134,160,100,1
2022/09/22/ 14:00:34,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-11,0,38,0,134,160,100,1
2022/09/22/ 14:00:34,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-11,0,39,0,134,160,100,1
2022/09/22/ 14:00:35,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-11,0,37,0,134,160,100,1
2022/09/22/ 14:00:35,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-11,0,38,0,134,160,100,1
2022/09/22/ 14:00:36,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-9,-12,0,39,0,134,160,100,1
2022/09/22/ 14:00:36,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-9,-11,0,37,0,134,160,100,1
2022/09/22/ 14:00:37,+UUDF:CCF957966B2C,:CCF957966B2C,-67,64,-1,0,37,0,134,160,100,1
2022/09/22/ 14:00:37,+UUDF:CCF957966B2C,:CCF957966B2C,-67,64,-1,0,39,0,134,160,100,1
