Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/19/ 03:06:44,+UUDF:CCF957966B2C,:CCF957966B2C,-64,10,27,0,38,0,134,90,130,1
2022/09/19/ 03:06:44,+UUDF:CCF957966B2C,:CCF957966B2C,-59,10,27,0,39,0,134,90,130,1
2022/09/19/ 03:06:45,+UUDF:CCF957966B2C,:CCF957966B2C,-67,10,27,0,37,0,134,90,130,1
2022/09/19/ 03:06:46,+UUDF:CCF957966B2C,:CCF957966B2C,-59,8,25,0,39,0,134,90,130,1
2022/09/19/ 03:06:46,+UUDF:CCF957966B2C,:CCF957966B2C,-64,8,25,0,38,0,134,90,130,1
2022/09/19/ 03:06:47,+UUDF:CCF957966B2C,:CCF957966B2C,-59,8,25,0,39,0,134,90,130,1
2022/09/19/ 03:06:47,+UUDF:CCF957966B2C,:CCF957966B2C,-68,8,25,0,37,0,134,90,130,1
2022/09/19/ 03:06:48,+UUDF:CCF957966B2C,:CCF957966B2C,-64,8,26,0,38,0,134,90,130,1
2022/09/19/ 03:06:48,+UUDF:CCF957966B2C,:CCF957966B2C,-68,8,26,0,37,0,134,90,130,1
2022/09/19/ 03:06:49,+UUDF:CCF957966B2C,:CCF957966B2C,-63,8,27,0,38,0,134,90,130,1
2022/09/19/ 03:06:49,+UUDF:CCF957966B2C,:CCF957966B2C,-59,8,26,0,39,0,134,90,130,1
2022/09/19/ 03:06:50,+UUDF:CCF957966B2C,:CCF957966B2C,-69,8,24,0,37,0,134,90,130,1
2022/09/19/ 03:06:50,+UUDF:CCF957966B2C,:CCF957966B2C,-59,8,24,0,39,0,134,90,130,1
2022/09/19/ 03:06:51,+UUDF:CCF957966B2C,:CCF957966B2C,-69,8,24,0,37,0,134,90,130,1
2022/09/19/ 03:06:51,+UUDF:CCF957966B2C,:CCF957966B2C,-64,8,24,0,38,0,134,90,130,1
2022/09/19/ 03:06:52,+UUDF:CCF957966B2C,:CCF957966B2C,-60,8,24,0,39,0,134,90,130,1
2022/09/19/ 03:06:52,+UUDF:CCF957966B2C,:CCF957966B2C,-63,8,24,0,39,0,134,90,130,1
2022/09/19/ 03:06:53,+UUDF:CCF957966B2C,:CCF957966B2C,-70,8,24,0,37,0,134,90,130,1
