Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 22:18:17,+UUDF:CCF957966B2C,:CCF957966B2C,-65,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:18,+UUDF:CCF957966B2C,:CCF957966B2C,-72,24,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:18,+UUDF:CCF957966B2C,:CCF957966B2C,-69,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:18,+UUDF:CCF957966B2C,:CCF957966B2C,-65,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:19,+UUDF:CCF957966B2C,:CCF957966B2C,-72,24,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:19,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:20,+UUDF:CCF957966B2C,:CCF957966B2C,-65,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:21,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:21,+UUDF:CCF957966B2C,:CCF957966B2C,-64,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:22,+UUDF:CCF957966B2C,:CCF957966B2C,-72,24,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:22,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:22,+UUDF:CCF957966B2C,:CCF957966B2C,-64,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:23,+UUDF:CCF957966B2C,:CCF957966B2C,-72,24,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:23,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:24,+UUDF:CCF957966B2C,:CCF957966B2C,-65,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:24,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-36,0,39,0,134,100,130,1
2022/09/19/ 22:18:25,+UUDF:CCF957966B2C,:CCF957966B2C,-72,24,-38,0,38,0,134,100,130,1
