Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/20/ 21:50:08,+UUDF:CCF957966B2C,:CCF957966B2C,-60,5,49,0,39,1,134,170,100,0
2022/09/20/ 21:50:08,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,49,0,38,1,134,170,100,0
2022/09/20/ 21:50:09,+UUDF:CCF957966B2C,:CCF957966B2C,-60,5,49,0,39,1,134,170,100,0
2022/09/20/ 21:50:09,+UUDF:CCF957966B2C,:CCF957966B2C,-79,5,49,0,37,1,134,170,100,0
2022/09/20/ 21:50:09,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,49,0,38,1,134,170,100,0
2022/09/20/ 21:50:10,+UUDF:CCF957966B2C,:CCF957966B2C,-60,5,49,0,39,1,134,170,100,0
2022/09/20/ 21:50:10,+UUDF:CCF957966B2C,:CCF957966B2C,-80,5,49,0,37,1,134,170,100,0
2022/09/20/ 21:50:11,+UUDF:CCF957966B2C,:CCF957966B2C,-60,5,49,0,39,1,134,170,100,0
2022/09/20/ 21:50:11,+UUDF:CCF957966B2C,:CCF957966B2C,-66,5,49,0,38,1,134,170,100,0
2022/09/20/ 21:50:12,+UUDF:CCF957966B2C,:CCF957966B2C,-79,5,49,0,37,1,134,170,100,0
2022/09/20/ 21:50:12,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-4,-16,0,38,1,134,170,100,0
2022/09/20/ 21:50:13,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-4,-16,0,37,1,134,170,100,0
2022/09/20/ 21:50:13,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-4,-16,0,37,1,134,170,100,0
2022/09/20/ 21:50:14,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-4,-16,0,38,1,134,170,100,0
2022/09/20/ 21:50:14,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-4,-16,0,37,1,134,170,100,0
2022/09/20/ 21:50:14,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-4,-16,0,37,1,134,170,100,0
2022/09/20/ 21:50:15,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-4,-16,0,37,1,134,170,100,0
