Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/17/ 15:39:04,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:05,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:05,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:05,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:06,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:06,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:07,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:07,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:08,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:08,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:09,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:09,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:09,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:10,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:10,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:11,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:11,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:12,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:12,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:13,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:13,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:13,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:14,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:14,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:15,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:15,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:16,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:16,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:17,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:17,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:17,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:18,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:18,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:19,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:19,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:20,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:20,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:21,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:21,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:22,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:22,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:22,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-6,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:23,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:23,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:24,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:24,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:25,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:25,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:25,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-4,-19,0,39,1,134,25,130,0
2022/09/17/ 15:39:26,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:26,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-4,-19,0,39,1,134,25,130,0
2022/09/17/ 15:39:27,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:27,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-5,-19,0,39,1,134,25,130,0
2022/09/17/ 15:39:28,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:28,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:29,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:29,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:29,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:30,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:30,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:31,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:31,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:32,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:32,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:33,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:33,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:33,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:34,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:34,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:35,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:35,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:36,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:36,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:37,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:37,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:37,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:38,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:38,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:39,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:39,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:40,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:40,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:41,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:41,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:42,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:42,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:43,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:43,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:44,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:44,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:45,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:45,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:46,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:46,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:47,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:47,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:48,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:48,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:49,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:49,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:50,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:39:50,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:39:50,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:39:51,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:52,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:52,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-6,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:53,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-6,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:53,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-5,-18,0,39,1,134,25,130,0
2022/09/17/ 15:39:54,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:54,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-5,-18,0,39,1,134,25,130,0
2022/09/17/ 15:39:54,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-6,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:55,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:56,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:56,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:57,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:57,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:39:58,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:58,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:39:58,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:39:59,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:00,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:00,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:01,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:01,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:02,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:02,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:02,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:03,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-6,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:04,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:04,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-6,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:05,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:05,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:06,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:40:06,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:06,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-6,-21,0,37,1,134,25,130,0
2022/09/17/ 15:40:07,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:08,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:08,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:09,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:09,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:10,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:10,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:10,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:11,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:40:11,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:12,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:12,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:13,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:13,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:40:14,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:14,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,-22,0,39,1,134,25,130,0
2022/09/17/ 15:40:14,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-21,0,37,1,134,25,130,0
2022/09/17/ 15:40:15,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-21,0,38,1,134,25,130,0
