Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/19/ 00:27:18,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-11,32,0,37,1,134,60,130,0
2022/09/19/ 00:27:19,+UUDF:CCF957966B2C,:CCF957966B2C,-86,-11,32,0,38,1,134,60,130,0
2022/09/19/ 00:27:19,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,32,0,39,1,134,60,130,0
2022/09/19/ 00:27:20,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-11,32,0,37,1,134,60,130,0
2022/09/19/ 00:27:20,+UUDF:CCF957966B2C,:CCF957966B2C,-87,-11,32,0,38,1,134,60,130,0
2022/09/19/ 00:27:20,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,32,0,39,1,134,60,130,0
2022/09/19/ 00:27:21,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-11,32,0,37,1,134,60,130,0
2022/09/19/ 00:27:21,+UUDF:CCF957966B2C,:CCF957966B2C,-85,-11,32,0,38,1,134,60,130,0
2022/09/19/ 00:27:22,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,32,0,39,1,134,60,130,0
2022/09/19/ 00:27:22,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-11,32,0,37,1,134,60,130,0
2022/09/19/ 00:27:23,+UUDF:CCF957966B2C,:CCF957966B2C,-85,-11,33,0,38,1,134,60,130,0
2022/09/19/ 00:27:23,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:24,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:24,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:25,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:25,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:25,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:26,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:26,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:27,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:27,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:28,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:28,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:29,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:29,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:30,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:30,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:30,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:31,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:31,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:32,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:32,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:33,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:33,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:34,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:34,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:35,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:35,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:36,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:36,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:37,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:37,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:37,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:38,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:38,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:39,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:39,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:40,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:40,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:41,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:41,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:42,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:42,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:42,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:43,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:43,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:44,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:45,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-6,0,39,1,134,60,130,0
2022/09/19/ 00:27:45,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:46,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:46,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:46,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:47,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:47,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:48,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:48,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:49,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:49,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:50,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:50,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:51,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:51,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-5,0,37,1,134,60,130,0
2022/09/19/ 00:27:52,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:52,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-7,-5,0,39,1,134,60,130,0
2022/09/19/ 00:27:53,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-5,0,38,1,134,60,130,0
2022/09/19/ 00:27:54,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,-4,0,37,1,134,60,130,0
2022/09/19/ 00:27:54,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-4,0,38,1,134,60,130,0
2022/09/19/ 00:27:54,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-4,0,39,1,134,60,130,0
2022/09/19/ 00:27:55,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-4,0,37,1,134,60,130,0
2022/09/19/ 00:27:55,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-4,0,38,1,134,60,130,0
2022/09/19/ 00:27:56,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-7,-4,0,39,1,134,60,130,0
2022/09/19/ 00:27:56,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-4,0,37,1,134,60,130,0
2022/09/19/ 00:27:57,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-4,0,38,1,134,60,130,0
2022/09/19/ 00:27:58,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,-4,0,38,1,134,60,130,0
2022/09/19/ 00:27:58,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-8,-4,0,39,1,134,60,130,0
2022/09/19/ 00:27:59,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-8,-4,0,37,1,134,60,130,0
2022/09/19/ 00:27:59,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,-5,0,38,1,134,60,130,0
2022/09/19/ 00:28:00,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-8,-4,0,39,1,134,60,130,0
2022/09/19/ 00:28:00,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-8,-5,0,39,1,134,60,130,0
2022/09/19/ 00:28:00,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-5,0,37,1,134,60,130,0
2022/09/19/ 00:28:01,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,-5,0,38,1,134,60,130,0
2022/09/19/ 00:28:02,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-4,0,38,1,134,60,130,0
2022/09/19/ 00:28:02,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-7,-4,0,39,1,134,60,130,0
2022/09/19/ 00:28:03,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-4,0,37,1,134,60,130,0
2022/09/19/ 00:28:03,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-7,-4,0,38,1,134,60,130,0
2022/09/19/ 00:28:04,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-8,-4,0,39,1,134,60,130,0
2022/09/19/ 00:28:04,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-4,0,37,1,134,60,130,0
2022/09/19/ 00:28:05,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-8,-4,0,39,1,134,60,130,0
2022/09/19/ 00:28:05,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-4,0,37,1,134,60,130,0
2022/09/19/ 00:28:06,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,-4,0,38,1,134,60,130,0
2022/09/19/ 00:28:06,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-5,0,37,1,134,60,130,0
2022/09/19/ 00:28:07,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,-5,0,38,1,134,60,130,0
2022/09/19/ 00:28:07,+UUDF:CCF957966B2C,:CCF957966B2C,-45,-8,-5,0,39,1,134,60,130,0
2022/09/19/ 00:28:08,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-5,0,37,1,134,60,130,0
2022/09/19/ 00:28:08,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-8,-5,0,39,1,134,60,130,0
