Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 23:20:28,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:29,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,2,0,37,1,134,100,130,0
2022/09/19/ 23:20:29,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:30,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:30,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,2,0,37,1,134,100,130,0
2022/09/19/ 23:20:31,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:31,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,2,0,37,1,134,100,130,0
2022/09/19/ 23:20:31,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:32,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:32,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:33,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:33,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:34,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:34,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,2,0,37,1,134,100,130,0
2022/09/19/ 23:20:35,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:35,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:36,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,2,0,37,1,134,100,130,0
2022/09/19/ 23:20:36,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:37,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,2,0,39,1,134,100,130,0
2022/09/19/ 23:20:37,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,2,0,37,1,134,100,130,0
2022/09/19/ 23:20:37,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:38,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:38,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:39,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,2,0,38,1,134,100,130,0
2022/09/19/ 23:20:39,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:40,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:40,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:40,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:41,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:41,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-13,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:42,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:42,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:43,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:43,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:44,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-13,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:44,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:44,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-13,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:45,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-13,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:45,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-13,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:46,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-13,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:46,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-13,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:47,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-13,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:47,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:48,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:48,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:48,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:49,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:49,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:50,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:50,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:51,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:51,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:51,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:52,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:52,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:53,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
2022/09/19/ 23:20:53,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,1,0,37,1,134,100,130,0
2022/09/19/ 23:20:54,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-14,1,0,38,1,134,100,130,0
2022/09/19/ 23:20:54,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-14,1,0,39,1,134,100,130,0
