Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 01:40:34,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,0,134,80,130,1
2022/09/19/ 01:40:34,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,37,0,134,80,130,1
2022/09/19/ 01:40:35,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,0,0,38,0,134,80,130,1
2022/09/19/ 01:40:35,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,0,0,39,0,134,80,130,1
2022/09/19/ 01:40:36,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-8,0,0,37,0,134,80,130,1
2022/09/19/ 01:40:36,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,0,0,38,0,134,80,130,1
2022/09/19/ 01:40:37,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-8,0,0,39,0,134,80,130,1
2022/09/19/ 01:40:37,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-8,0,0,37,0,134,80,130,1
2022/09/19/ 01:40:38,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,0,0,38,0,134,80,130,1
2022/09/19/ 01:40:38,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,0,0,39,0,134,80,130,1
2022/09/19/ 01:40:38,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,37,0,134,80,130,1
2022/09/19/ 01:40:39,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:39,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:40,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,43,0,38,0,134,80,130,1
2022/09/19/ 01:40:40,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:41,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:41,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:42,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:42,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,43,0,38,0,134,80,130,1
2022/09/19/ 01:40:43,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:43,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:44,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,43,0,38,0,134,80,130,1
2022/09/19/ 01:40:44,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:45,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:45,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,43,0,38,0,134,80,130,1
2022/09/19/ 01:40:45,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:46,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:46,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,43,0,38,0,134,80,130,1
2022/09/19/ 01:40:47,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-3,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:47,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-3,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:48,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,42,0,38,0,134,80,130,1
2022/09/19/ 01:40:48,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-3,43,0,39,0,134,80,130,1
