Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/23/ 15:49:34,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:35,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:35,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:36,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,-21,0,37,1,134,90,100,0
2022/09/23/ 15:49:36,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:37,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-21,0,37,1,134,90,100,0
2022/09/23/ 15:49:37,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:38,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-21,0,37,1,134,90,100,0
2022/09/23/ 15:49:38,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:38,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-21,0,37,1,134,90,100,0
2022/09/23/ 15:49:39,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:39,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:40,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:40,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:41,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:41,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:42,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:42,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:42,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:43,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:43,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:44,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:44,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:45,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:45,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:46,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:46,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:46,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:47,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:47,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:48,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:48,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-20,0,37,1,134,90,100,0
2022/09/23/ 15:49:49,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:49,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:50,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:50,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:51,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:51,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:51,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:52,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:52,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:53,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:53,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:54,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:54,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:55,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:55,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:56,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:56,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-26,0,38,1,134,90,100,0
2022/09/23/ 15:49:56,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-26,0,37,1,134,90,100,0
2022/09/23/ 15:49:57,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:57,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-3,-27,0,37,1,134,90,100,0
2022/09/23/ 15:49:58,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-3,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:58,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-27,0,37,1,134,90,100,0
2022/09/23/ 15:49:59,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-27,0,38,1,134,90,100,0
2022/09/23/ 15:49:59,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-27,0,37,1,134,90,100,0
2022/09/23/ 15:50:00,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-2,-27,0,38,1,134,90,100,0
2022/09/23/ 15:50:00,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,-27,0,37,1,134,90,100,0
2022/09/23/ 15:50:00,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-26,0,38,1,134,90,100,0
2022/09/23/ 15:50:01,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-26,0,37,1,134,90,100,0
2022/09/23/ 15:50:01,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-26,0,38,1,134,90,100,0
2022/09/23/ 15:50:02,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,-26,0,37,1,134,90,100,0
2022/09/23/ 15:50:02,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-26,0,38,1,134,90,100,0
2022/09/23/ 15:50:03,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-26,0,37,1,134,90,100,0
2022/09/23/ 15:50:03,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-26,0,38,1,134,90,100,0
2022/09/23/ 15:50:04,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-26,0,37,1,134,90,100,0
