Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/22/ 19:13:55,+UUDF:CCF957966B2C,:CCF957966B2C,-57,19,-13,0,39,0,134,120,100,1
2022/09/22/ 19:13:55,+UUDF:CCF957966B2C,:CCF957966B2C,-75,19,-13,0,37,0,134,120,100,1
2022/09/22/ 19:13:56,+UUDF:CCF957966B2C,:CCF957966B2C,-57,19,-13,0,39,0,134,120,100,1
2022/09/22/ 19:13:56,+UUDF:CCF957966B2C,:CCF957966B2C,-75,19,-13,0,37,0,134,120,100,1
2022/09/22/ 19:13:57,+UUDF:CCF957966B2C,:CCF957966B2C,-69,19,-14,0,38,0,134,120,100,1
2022/09/22/ 19:13:57,+UUDF:CCF957966B2C,:CCF957966B2C,-75,19,-14,0,37,0,134,120,100,1
2022/09/22/ 19:13:58,+UUDF:CCF957966B2C,:CCF957966B2C,-67,14,-2,0,38,0,134,120,100,1
2022/09/22/ 19:13:59,+UUDF:CCF957966B2C,:CCF957966B2C,-57,14,-2,0,39,0,134,120,100,1
2022/09/22/ 19:13:59,+UUDF:CCF957966B2C,:CCF957966B2C,-67,14,-1,0,38,0,134,120,100,1
2022/09/22/ 19:13:59,+UUDF:CCF957966B2C,:CCF957966B2C,-57,15,-1,0,39,0,134,120,100,1
2022/09/22/ 19:14:00,+UUDF:CCF957966B2C,:CCF957966B2C,-89,14,-1,0,37,0,134,120,100,1
2022/09/22/ 19:14:00,+UUDF:CCF957966B2C,:CCF957966B2C,-57,15,-1,0,39,0,134,120,100,1
2022/09/22/ 19:14:01,+UUDF:CCF957966B2C,:CCF957966B2C,-89,14,-1,0,37,0,134,120,100,1
2022/09/22/ 19:14:01,+UUDF:CCF957966B2C,:CCF957966B2C,-57,15,-2,0,39,0,134,120,100,1
2022/09/22/ 19:14:02,+UUDF:CCF957966B2C,:CCF957966B2C,-57,14,3,0,39,0,134,120,100,1
2022/09/22/ 19:14:03,+UUDF:CCF957966B2C,:CCF957966B2C,-89,13,4,0,37,0,134,120,100,1
2022/09/22/ 19:14:03,+UUDF:CCF957966B2C,:CCF957966B2C,-57,14,3,0,39,0,134,120,100,1
2022/09/22/ 19:14:04,+UUDF:CCF957966B2C,:CCF957966B2C,-66,14,3,0,38,0,134,120,100,1
2022/09/22/ 19:14:04,+UUDF:CCF957966B2C,:CCF957966B2C,-57,14,3,0,39,0,134,120,100,1
2022/09/22/ 19:14:04,+UUDF:CCF957966B2C,:CCF957966B2C,-89,14,3,0,37,0,134,120,100,1
2022/09/22/ 19:14:05,+UUDF:CCF957966B2C,:CCF957966B2C,-66,14,4,0,38,0,134,120,100,1
2022/09/22/ 19:14:05,+UUDF:CCF957966B2C,:CCF957966B2C,-57,14,3,0,39,0,134,120,100,1
2022/09/22/ 19:14:06,+UUDF:CCF957966B2C,:CCF957966B2C,-66,14,3,0,38,0,134,120,100,1
2022/09/22/ 19:14:07,+UUDF:CCF957966B2C,:CCF957966B2C,-77,8,3,0,37,0,134,120,100,1
2022/09/22/ 19:14:07,+UUDF:CCF957966B2C,:CCF957966B2C,-68,8,3,0,38,0,134,120,100,1
