Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 22:09:30,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:31,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:31,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:32,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:32,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:33,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:33,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:33,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:34,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:34,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:35,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-7,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:35,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:36,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:36,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:37,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-7,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:37,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:38,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:38,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:38,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:40,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:40,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:41,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:41,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:43,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:43,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:44,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:44,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:45,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:45,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:46,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:46,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:46,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:47,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:47,+UUDF:CCF957966B2C,:CCF957966B2C,-46,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:48,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:48,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:49,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:49,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:50,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:50,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:52,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:52,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,-1,0,39,1,134,100,130,0
2022/09/19/ 22:09:54,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:54,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,-1,0,39,1,134,100,130,0
2022/09/19/ 22:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-1,0,37,1,134,100,130,0
2022/09/19/ 22:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-8,-1,0,39,1,134,100,130,0
2022/09/19/ 22:09:56,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-1,0,37,1,134,100,130,0
2022/09/19/ 22:09:56,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-8,-1,0,39,1,134,100,130,0
2022/09/19/ 22:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:58,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,-1,0,39,1,134,100,130,0
2022/09/19/ 22:09:58,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:10:00,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:10:00,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-9,0,0,39,1,134,100,130,0
2022/09/19/ 22:10:01,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:10:01,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-9,0,0,38,1,134,100,130,0
2022/09/19/ 22:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-9,0,0,39,1,134,100,130,0
2022/09/19/ 22:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,0,0,37,1,134,100,130,0
2022/09/19/ 22:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-9,0,0,39,1,134,100,130,0
2022/09/19/ 22:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,0,0,37,1,134,100,130,0
2022/09/19/ 22:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-9,0,0,38,1,134,100,130,0
2022/09/19/ 22:10:04,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-9,0,0,39,1,134,100,130,0
2022/09/19/ 22:10:04,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:10:05,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:10:05,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
2022/09/19/ 22:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-8,0,0,39,1,134,100,130,0
2022/09/19/ 22:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,0,0,37,1,134,100,130,0
2022/09/19/ 22:10:07,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,0,0,38,1,134,100,130,0
