Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/22/ 19:07:08,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-9,20,0,37,1,134,120,100,0
2022/09/22/ 19:07:08,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,20,0,39,1,134,120,100,0
2022/09/22/ 19:07:09,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-9,20,0,37,1,134,120,100,0
2022/09/22/ 19:07:09,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-9,20,0,38,1,134,120,100,0
2022/09/22/ 19:07:10,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-8,20,0,37,1,134,120,100,0
2022/09/22/ 19:07:10,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-9,20,0,38,1,134,120,100,0
2022/09/22/ 19:07:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,20,0,39,1,134,120,100,0
2022/09/22/ 19:07:11,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-9,20,0,38,1,134,120,100,0
2022/09/22/ 19:07:12,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-9,20,0,37,1,134,120,100,0
2022/09/22/ 19:07:12,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-9,20,0,38,1,134,120,100,0
2022/09/22/ 19:07:12,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,20,0,39,1,134,120,100,0
2022/09/22/ 19:07:13,+UUDF:CCF957966B2C,:CCF957966B2C,-52,0,-8,0,39,1,134,120,100,0
2022/09/22/ 19:07:13,+UUDF:CCF957966B2C,:CCF957966B2C,-52,0,-8,0,39,1,134,120,100,0
2022/09/22/ 19:07:14,+UUDF:CCF957966B2C,:CCF957966B2C,-55,0,-8,0,39,1,134,120,100,0
2022/09/22/ 19:07:14,+UUDF:CCF957966B2C,:CCF957966B2C,-52,0,-8,0,39,1,134,120,100,0
2022/09/22/ 19:07:15,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,-8,0,38,1,134,120,100,0
2022/09/22/ 19:07:15,+UUDF:CCF957966B2C,:CCF957966B2C,-52,0,-8,0,39,1,134,120,100,0
2022/09/22/ 19:07:16,+UUDF:CCF957966B2C,:CCF957966B2C,-52,0,-8,0,39,1,134,120,100,0
2022/09/22/ 19:07:16,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,-8,0,38,1,134,120,100,0
