Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/19/ 01:16:34,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-15,-31,0,38,1,134,70,130,0
2022/09/19/ 01:16:35,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-15,-31,0,39,1,134,70,130,0
2022/09/19/ 01:16:35,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-15,-31,0,37,1,134,70,130,0
2022/09/19/ 01:16:36,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-12,-31,0,38,1,134,70,130,0
2022/09/19/ 01:16:36,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-12,-31,0,39,1,134,70,130,0
2022/09/19/ 01:16:37,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-12,-31,0,37,1,134,70,130,0
2022/09/19/ 01:16:37,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-11,-31,0,38,1,134,70,130,0
2022/09/19/ 01:16:37,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-12,-31,0,39,1,134,70,130,0
2022/09/19/ 01:16:38,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-12,-30,0,37,1,134,70,130,0
2022/09/19/ 01:16:38,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-11,-31,0,38,1,134,70,130,0
2022/09/19/ 01:16:39,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-12,-30,0,39,1,134,70,130,0
2022/09/19/ 01:16:39,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:40,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:40,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:41,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:41,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:42,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:42,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:42,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:43,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:43,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:44,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:44,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:45,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:45,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:46,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:46,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:47,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:47,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:48,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-5,-3,0,37,1,134,70,130,0
2022/09/19/ 01:16:48,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:49,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:49,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,-4,0,37,1,134,70,130,0
2022/09/19/ 01:16:49,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:50,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-4,0,39,1,134,70,130,0
2022/09/19/ 01:16:50,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-5,-4,0,37,1,134,70,130,0
2022/09/19/ 01:16:51,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:51,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-5,-3,0,39,1,134,70,130,0
2022/09/19/ 01:16:52,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-5,-4,0,37,1,134,70,130,0
2022/09/19/ 01:16:52,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-3,0,38,1,134,70,130,0
2022/09/19/ 01:16:53,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,-4,0,39,1,134,70,130,0
2022/09/19/ 01:16:53,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,-4,0,37,1,134,70,130,0
2022/09/19/ 01:16:54,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-5,-4,0,38,1,134,70,130,0
2022/09/19/ 01:16:54,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-5,-4,0,39,1,134,70,130,0
2022/09/19/ 01:16:55,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-5,-4,0,37,1,134,70,130,0
