,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,8,-50,37,170,260,1,160
1,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,8,-50,38,170,260,1,160
2,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-56,8,-50,39,170,260,1,160
3,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,8,-50,37,170,260,1,160
4,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,8,-50,38,170,260,1,160
5,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-56,8,-50,39,170,260,1,160
6,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,8,-50,37,170,260,1,160
7,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-56,8,-50,39,170,260,1,160
8,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,8,-51,37,170,260,1,160
9,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,8,-50,38,170,260,1,160
10,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-56,8,-50,39,170,260,1,160
11,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-70,19,-5,39,170,260,1,160
12,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,19,-5,39,170,260,1,160
13,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,18,-4,39,170,260,1,160
14,2022/12/05/ 09:17:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,19,-4,38,170,260,1,160
15,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,18,-4,39,170,260,1,160
16,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-87,18,-4,37,170,260,1,160
17,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,18,-4,38,170,260,1,160
18,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-83,18,-4,37,170,260,1,160
19,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,18,-5,38,170,260,1,160
20,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-79,18,-6,37,170,260,1,160
21,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,18,-5,37,170,260,1,160
22,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,17,-5,38,170,260,1,160
23,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-81,17,-4,37,170,260,1,160
24,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,16,-4,39,170,260,1,160
25,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-83,16,-1,37,170,260,1,160
26,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,16,-4,38,170,260,1,160
27,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-82,14,-1,37,170,260,1,160
28,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,14,-1,38,170,260,1,160
29,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,13,-1,37,170,260,1,160
30,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,13,-1,38,170,260,1,160
31,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,13,0,37,170,260,1,160
32,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,13,0,38,170,260,1,160
33,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,13,4,37,170,260,1,160
34,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,13,4,38,170,260,1,160
35,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-70,13,7,39,170,260,1,160
36,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,13,7,37,170,260,1,160
37,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,13,4,38,170,260,1,160
38,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,13,4,39,170,260,1,160
39,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,13,4,37,170,260,1,160
40,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,13,4,39,170,260,1,160
41,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-77,13,7,37,170,260,1,160
42,2022/12/05/ 09:17:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,4,38,170,260,1,160
43,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-70,13,7,39,170,260,1,160
44,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,13,9,37,170,260,1,160
45,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,9,38,170,260,1,160
46,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,13,19,39,170,260,1,160
47,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-77,14,19,37,170,260,1,160
48,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,14,19,38,170,260,1,160
49,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,14,22,39,170,260,1,160
50,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,14,22,37,170,260,1,160
51,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,22,38,170,260,1,160
52,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,14,20,39,170,260,1,160
53,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-77,14,22,37,170,260,1,160
54,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,14,20,38,170,260,1,160
55,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,14,20,39,170,260,1,160
56,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-77,14,20,37,170,260,1,160
57,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,14,20,38,170,260,1,160
58,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,14,20,39,170,260,1,160
59,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,13,23,37,170,260,1,160
60,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,14,23,38,170,260,1,160
61,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,13,23,39,170,260,1,160
62,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,14,25,37,170,260,1,160
63,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,25,38,170,260,1,160
64,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,13,25,39,170,260,1,160
65,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,14,25,38,170,260,1,160
66,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,13,21,39,170,260,1,160
67,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-77,14,21,37,170,260,1,160
68,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,14,20,38,170,260,1,160
69,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,14,21,37,170,260,1,160
70,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,14,20,38,170,260,1,160
71,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,14,20,37,170,260,1,160
72,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,14,20,38,170,260,1,160
73,2022/12/05/ 09:17:59,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-79,14,20,37,170,260,1,160
