,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-59,7,-15,39,170,206,1,160
1,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,7,-14,37,170,206,1,160
2,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,7,-14,38,170,206,1,160
3,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-60,7,-14,39,170,206,1,160
4,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,7,-14,37,170,206,1,160
5,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,7,-14,38,170,206,1,160
6,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-59,7,-14,39,170,206,1,160
7,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,7,-14,37,170,206,1,160
8,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,7,-14,38,170,206,1,160
9,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-59,7,-14,39,170,206,1,160
10,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,7,-14,37,170,206,1,160
11,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,-6,-20,37,170,206,1,160
12,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,-6,-21,38,170,206,1,160
13,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,-8,-21,37,170,206,1,160
14,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,-4,-20,38,170,206,1,160
15,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-70,-9,-21,37,170,206,1,160
16,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-70,-4,-21,38,170,206,1,160
17,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,-4,-21,37,170,206,1,160
18,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,-4,-21,38,170,206,1,160
19,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,17,7,37,170,206,1,160
20,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,21,12,38,170,206,1,160
21,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,21,13,37,170,206,1,160
22,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,23,16,38,170,206,1,160
23,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,23,16,37,170,206,1,160
24,2022/12/05/ 08:27:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,21,21,37,170,206,1,160
25,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,21,27,37,170,206,1,160
26,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,21,21,39,170,206,1,160
27,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,13,28,37,170,206,1,160
28,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,13,21,37,170,206,1,160
29,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,10,16,37,170,206,1,160
30,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,6,10,37,170,206,1,160
31,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,6,10,37,170,206,1,160
32,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-70,2,-17,37,170,206,1,160
33,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,-9,-17,37,170,206,1,160
34,2022/12/05/ 08:27:22,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,-9,-16,37,170,206,1,160
