Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/27/ 17:32:53,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-18,-47,0,39,0,134,65,100,1
2022/09/27/ 17:32:54,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-18,-47,0,38,0,134,65,100,1
2022/09/27/ 17:32:54,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-20,-37,0,38,0,134,65,100,1
2022/09/27/ 17:32:55,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-37,0,37,0,134,65,100,1
2022/09/27/ 17:32:55,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-20,-39,0,39,0,134,65,100,1
2022/09/27/ 17:32:56,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-21,-37,0,38,0,134,65,100,1
2022/09/27/ 17:32:56,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-38,0,37,0,134,65,100,1
2022/09/27/ 17:32:57,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-20,-38,0,39,0,134,65,100,1
2022/09/27/ 17:32:57,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-20,-38,0,38,0,134,65,100,1
2022/09/27/ 17:32:58,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-38,0,37,0,134,65,100,1
2022/09/27/ 17:32:58,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-36,0,39,0,134,65,100,1
2022/09/27/ 17:32:59,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-20,-36,0,38,0,134,65,100,1
2022/09/27/ 17:32:59,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-20,-36,0,37,0,134,65,100,1
2022/09/27/ 17:33:00,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-20,-36,0,39,0,134,65,100,1
2022/09/27/ 17:33:00,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-19,-36,0,38,0,134,65,100,1
2022/09/27/ 17:33:01,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-19,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:01,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-19,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:01,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-19,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:02,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-38,0,37,0,134,65,100,1
2022/09/27/ 17:33:03,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-38,0,39,0,134,65,100,1
2022/09/27/ 17:33:03,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-21,-38,0,38,0,134,65,100,1
2022/09/27/ 17:33:03,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:04,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:04,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-21,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:05,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:05,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:06,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-38,0,39,0,134,65,100,1
2022/09/27/ 17:33:06,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-21,-38,0,38,0,134,65,100,1
2022/09/27/ 17:33:07,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-40,0,37,0,134,65,100,1
2022/09/27/ 17:33:07,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-40,0,39,0,134,65,100,1
2022/09/27/ 17:33:08,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-21,-40,0,38,0,134,65,100,1
2022/09/27/ 17:33:08,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-40,0,37,0,134,65,100,1
2022/09/27/ 17:33:09,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-40,0,39,0,134,65,100,1
2022/09/27/ 17:33:09,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-21,-40,0,38,0,134,65,100,1
2022/09/27/ 17:33:10,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:10,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-21,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:11,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:11,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-40,0,39,0,134,65,100,1
2022/09/27/ 17:33:12,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-21,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:12,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:12,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-21,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:13,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-21,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:14,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-20,-40,0,38,0,134,65,100,1
2022/09/27/ 17:33:14,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-40,0,37,0,134,65,100,1
2022/09/27/ 17:33:14,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-20,-40,0,39,0,134,65,100,1
2022/09/27/ 17:33:15,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-21,-40,0,38,0,134,65,100,1
2022/09/27/ 17:33:15,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-21,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:16,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-21,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:16,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-21,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:17,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-21,-38,0,37,0,134,65,100,1
2022/09/27/ 17:33:17,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-20,-43,0,38,0,134,65,100,1
2022/09/27/ 17:33:18,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-43,0,37,0,134,65,100,1
2022/09/27/ 17:33:18,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-20,-43,0,39,0,134,65,100,1
2022/09/27/ 17:33:19,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-20,-43,0,38,0,134,65,100,1
2022/09/27/ 17:33:19,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:20,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:20,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-20,-39,0,39,0,134,65,100,1
2022/09/27/ 17:33:21,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-20,-39,0,38,0,134,65,100,1
2022/09/27/ 17:33:21,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-20,-39,0,37,0,134,65,100,1
2022/09/27/ 17:33:22,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-19,-38,0,38,0,134,65,100,1
2022/09/27/ 17:33:22,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-19,-43,0,37,0,134,65,100,1
2022/09/27/ 17:33:23,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-19,-43,0,39,0,134,65,100,1
2022/09/27/ 17:33:23,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-19,-43,0,38,0,134,65,100,1
2022/09/27/ 17:33:23,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-19,-44,0,37,0,134,65,100,1
2022/09/27/ 17:33:24,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-19,-44,0,39,0,134,65,100,1
2022/09/27/ 17:33:24,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-19,-44,0,38,0,134,65,100,1
2022/09/27/ 17:33:25,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-19,-44,0,37,0,134,65,100,1
2022/09/27/ 17:33:25,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-21,-43,0,38,0,134,65,100,1
2022/09/27/ 17:33:26,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-43,0,37,0,134,65,100,1
2022/09/27/ 17:33:26,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-21,-43,0,39,0,134,65,100,1
2022/09/27/ 17:33:27,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-21,-43,0,38,0,134,65,100,1
2022/09/27/ 17:33:27,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-41,0,37,0,134,65,100,1
2022/09/27/ 17:33:28,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-21,-41,0,39,0,134,65,100,1
2022/09/27/ 17:33:28,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-21,-41,0,38,0,134,65,100,1
2022/09/27/ 17:33:29,+UUDF:CCF957966B2C,:CCF957966B2C,-73,-21,-42,0,37,0,134,65,100,1
2022/09/27/ 17:33:29,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-17,-34,0,38,0,134,65,100,1
2022/09/27/ 17:33:30,+UUDF:CCF957966B2C,:CCF957966B2C,-74,-18,-34,0,37,0,134,65,100,1
2022/09/27/ 17:33:30,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-18,-34,0,39,0,134,65,100,1
