Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:08:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-9,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:25,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-10,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:25,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-10,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:26,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-10,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:26,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-10,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-10,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-10,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-10,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-10,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-10,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-23,0,37,0,134,88,100,1
2022/09/27/ 21:08:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-23,0,38,0,134,88,100,1
2022/09/27/ 21:08:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-8,-23,0,39,0,134,88,100,1
2022/09/27/ 21:08:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-23,0,37,0,134,88,100,1
2022/09/27/ 21:08:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-9,-23,0,39,0,134,88,100,1
2022/09/27/ 21:08:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-9,-22,0,37,0,134,88,100,1
