Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/28/ 01:52:27,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:28,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:28,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:28,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:29,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:29,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:52:30,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:30,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:31,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:31,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:32,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:32,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:33,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:33,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:34,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:34,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:34,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:35,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-28,-22,0,39,1,134,114,100,0
2022/09/28/ 01:52:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-18,0,37,1,134,114,100,0
2022/09/28/ 01:52:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-26,-18,0,38,1,134,114,100,0
2022/09/28/ 01:52:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-18,0,37,1,134,114,100,0
2022/09/28/ 01:52:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-18,0,37,1,134,114,100,0
2022/09/28/ 01:52:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-18,0,38,1,134,114,100,0
2022/09/28/ 01:52:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-18,0,37,1,134,114,100,0
2022/09/28/ 01:52:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-18,0,38,1,134,114,100,0
2022/09/28/ 01:52:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:51,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:52,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:52,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:52,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:54,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:54,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:55,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:52:55,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:56,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:56,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:52:58,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:52:58,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:52:58,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:52:59,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:01,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:01,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:02,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:02,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:03,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:03,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:05,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:05,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:06,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:06,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:06,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:07,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:09,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:09,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:10,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:10,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:11,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:11,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:12,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:12,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:13,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:13,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:14,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:14,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:15,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-26,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:15,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:16,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-26,-19,0,38,1,134,114,100,0
2022/09/28/ 01:53:16,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-26,-19,0,37,1,134,114,100,0
