,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,48,-22,37,170,150,1,180
1,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,48,-22,37,170,150,1,180
2,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-60,48,-22,38,170,150,1,180
3,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-54,48,-22,39,170,150,1,180
4,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-59,48,-22,38,170,150,1,180
5,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-54,48,-22,39,170,150,1,180
6,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-61,48,-22,37,170,150,1,180
7,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,48,-22,38,170,150,1,180
8,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,48,-22,38,170,150,1,180
9,2022/12/04/ 03:11:42,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-53,48,-22,39,170,150,1,180
10,2022/12/04/ 03:11:43,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-59,48,-22,37,170,150,1,180
11,2022/12/04/ 03:11:43,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-45,38,-44,39,170,150,1,180
12,2022/12/04/ 03:11:43,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-50,38,-44,37,170,150,1,180
13,2022/12/04/ 03:11:43,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-48,38,-44,38,170,150,1,180
14,2022/12/04/ 03:11:43,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-49,38,-44,37,170,150,1,180
