,_id,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant,Distancia_ant_tag
0,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
1,63927ae22c578993a2cd486e,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,19,-18,37,170,297,0,160,672
2,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
3,63927ae22c578993a2cd486c,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-60,19,-18,37,170,297,0,160,672
4,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
5,63927ae22c578993a2cd486a,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,19,-18,37,170,297,0,160,672
6,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
7,63927ae22c578993a2cd4868,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,19,-18,38,170,297,0,160,672
8,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
9,63927ae22c578993a2cd4866,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-60,20,-18,37,170,297,0,160,621
10,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
11,63927ae22c578993a2cd4864,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,20,-18,38,170,297,0,160,621
12,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
13,63927ae22c578993a2cd4862,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,20,-18,38,170,297,0,160,621
14,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
15,63927ae22c578993a2cd4860,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-58,20,-18,39,170,297,0,160,621
16,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
17,63927ae22c578993a2cd485e,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-58,19,-18,39,170,297,0,160,672
18,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
19,63927ae22c578993a2cd485c,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-59,19,-18,37,170,297,0,160,672
20,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
21,63927ae22c578993a2cd485a,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,20,-18,37,170,297,0,160,621
22,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
23,63927ae22c578993a2cd4858,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,20,-18,38,170,297,0,160,621
24,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
25,63927ae22c578993a2cd4856,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,20,-18,38,170,297,0,160,621
26,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
27,63927ae22c578993a2cd4854,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-58,20,-18,39,170,297,0,160,621
28,63927ae32c578993a2cd50e8,2022/12/05/ 03:54:21,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-79,6,-18,38,170,224,0,160,657
