,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-28,37,170,150,1,180
1,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-56,-20,-28,38,170,150,1,180
2,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-20,-28,39,170,150,1,180
3,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-56,-20,-28,38,170,150,1,180
4,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-28,37,170,150,1,180
5,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-56,-20,-28,38,170,150,1,180
6,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-46,-20,-28,39,170,150,1,180
7,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-28,37,170,150,1,180
8,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-20,-28,39,170,150,1,180
9,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-28,37,170,150,1,180
10,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-46,-20,-28,39,170,150,1,180
11,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-18,-26,37,170,150,1,180
12,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-18,-26,39,170,150,1,180
13,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-59,-18,-26,37,170,150,1,180
14,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-18,-26,39,170,150,1,180
15,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-18,-26,38,170,150,1,180
16,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-18,-26,39,170,150,1,180
17,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-18,-26,37,170,150,1,180
18,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-57,-20,-26,38,170,150,1,180
19,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-20,-26,39,170,150,1,180
20,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-26,37,170,150,1,180
21,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-47,-20,-26,39,170,150,1,180
22,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-26,37,170,150,1,180
23,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-57,-20,-26,38,170,150,1,180
24,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-46,-20,-26,39,170,150,1,180
25,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-20,-26,37,170,150,1,180
26,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-57,-20,-26,38,170,150,1,180
27,2022/12/04/ 00:21:26,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-46,-20,-28,39,170,150,1,180
