Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:51:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-63,46,0,38,1,134,105,100,0
2022/09/27/ 21:51:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-63,46,0,39,1,134,105,100,0
2022/09/27/ 21:51:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-63,46,0,37,1,134,105,100,0
2022/09/27/ 21:51:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-63,46,0,38,1,134,105,100,0
2022/09/27/ 21:51:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-63,47,0,39,1,134,105,100,0
2022/09/27/ 21:51:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-64,46,0,38,1,134,105,100,0
2022/09/27/ 21:51:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-63,47,0,39,1,134,105,100,0
2022/09/27/ 21:51:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-63,47,0,37,1,134,105,100,0
2022/09/27/ 21:51:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-63,47,0,39,1,134,105,100,0
2022/09/27/ 21:51:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-63,47,0,38,1,134,105,100,0
2022/09/27/ 21:51:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:51:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:51:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:51:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:51:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:51:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:51:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:51:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:51:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:51:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:51:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:51:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-30,-22,0,37,1,134,105,100,0
