Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 01:07:20,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-7,-1,0,37,0,134,120,130,1
2022/09/20/ 01:07:21,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-7,-1,0,38,0,134,120,130,1
2022/09/20/ 01:07:21,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-7,-1,0,39,0,134,120,130,1
2022/09/20/ 01:07:22,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-7,-1,0,37,0,134,120,130,1
2022/09/20/ 01:07:22,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-7,-1,0,38,0,134,120,130,1
2022/09/20/ 01:07:22,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-1,0,39,0,134,120,130,1
2022/09/20/ 01:07:23,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-7,-1,0,37,0,134,120,130,1
2022/09/20/ 01:07:23,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-7,-1,0,38,0,134,120,130,1
2022/09/20/ 01:07:24,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-1,0,39,0,134,120,130,1
2022/09/20/ 01:07:24,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-7,-1,0,37,0,134,120,130,1
2022/09/20/ 01:07:25,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-7,-1,0,38,0,134,120,130,1
2022/09/20/ 01:07:25,+UUDF:CCF957966B2C,:CCF957966B2C,-69,10,-38,0,37,0,134,120,130,1
2022/09/20/ 01:07:25,+UUDF:CCF957966B2C,:CCF957966B2C,-66,10,-38,0,38,0,134,120,130,1
2022/09/20/ 01:07:26,+UUDF:CCF957966B2C,:CCF957966B2C,-66,28,-28,0,38,0,134,120,130,1
2022/09/20/ 01:07:26,+UUDF:CCF957966B2C,:CCF957966B2C,-66,10,-38,0,37,0,134,120,130,1
2022/09/20/ 01:07:27,+UUDF:CCF957966B2C,:CCF957966B2C,-66,28,-28,0,38,0,134,120,130,1
2022/09/20/ 01:07:27,+UUDF:CCF957966B2C,:CCF957966B2C,-66,10,-38,0,37,0,134,120,130,1
2022/09/20/ 01:07:28,+UUDF:CCF957966B2C,:CCF957966B2C,-66,28,-28,0,38,0,134,120,130,1
2022/09/20/ 01:07:28,+UUDF:CCF957966B2C,:CCF957966B2C,-67,10,-38,0,37,0,134,120,130,1
2022/09/20/ 01:07:29,+UUDF:CCF957966B2C,:CCF957966B2C,-66,28,-28,0,38,0,134,120,130,1
2022/09/20/ 01:07:29,+UUDF:CCF957966B2C,:CCF957966B2C,-68,10,-28,0,39,0,134,120,130,1
2022/09/20/ 01:07:29,+UUDF:CCF957966B2C,:CCF957966B2C,-67,10,-28,0,37,0,134,120,130,1
2022/09/20/ 01:07:30,+UUDF:CCF957966B2C,:CCF957966B2C,-66,10,-29,0,38,0,134,120,130,1
