Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/22/ 18:36:50,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:36:51,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:36:51,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:36:52,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-12,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:53,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:53,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:53,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:54,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:54,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:55,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:55,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:56,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:56,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:57,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:57,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:58,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:58,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:59,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:36:59,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:00,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-11,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:00,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:01,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:01,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:02,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:02,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:02,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:03,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:03,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:04,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:05,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:05,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:06,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:06,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:06,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:07,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:07,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:08,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-10,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:09,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:09,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:10,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:10,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,38,1,134,130,100,0
2022/09/22/ 18:37:10,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:12,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:13,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:13,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:14,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:14,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:14,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:15,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-18,0,38,1,134,130,100,0
2022/09/22/ 18:37:15,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-17,0,38,1,134,130,100,0
