Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/20/ 20:13:50,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-4,-16,0,38,0,134,200,100,1
2022/09/20/ 20:13:51,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-4,-16,0,37,0,134,200,100,1
2022/09/20/ 20:13:51,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-4,-17,0,37,0,134,200,100,1
2022/09/20/ 20:13:52,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-4,-16,0,38,0,134,200,100,1
2022/09/20/ 20:13:52,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-4,-17,0,37,0,134,200,100,1
2022/09/20/ 20:13:53,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-4,-17,0,37,0,134,200,100,1
2022/09/20/ 20:13:53,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-4,-17,0,38,0,134,200,100,1
2022/09/20/ 20:13:53,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-4,-17,0,37,0,134,200,100,1
2022/09/20/ 20:13:54,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-4,-17,0,37,0,134,200,100,1
2022/09/20/ 20:13:54,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-4,-17,0,38,0,134,200,100,1
2022/09/20/ 20:13:55,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-4,-17,0,37,0,134,200,100,1
2022/09/20/ 20:13:55,+UUDF:CCF957966B2C,:CCF957966B2C,-69,0,52,0,38,0,134,200,100,1
2022/09/20/ 20:13:56,+UUDF:CCF957966B2C,:CCF957966B2C,-59,0,53,0,39,0,134,200,100,1
2022/09/20/ 20:13:56,+UUDF:CCF957966B2C,:CCF957966B2C,-68,0,52,0,37,0,134,200,100,1
2022/09/20/ 20:13:57,+UUDF:CCF957966B2C,:CCF957966B2C,-69,0,52,0,38,0,134,200,100,1
2022/09/20/ 20:13:57,+UUDF:CCF957966B2C,:CCF957966B2C,-68,0,52,0,37,0,134,200,100,1
2022/09/20/ 20:13:57,+UUDF:CCF957966B2C,:CCF957966B2C,-69,0,52,0,38,0,134,200,100,1
2022/09/20/ 20:13:58,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,53,0,39,0,134,200,100,1
2022/09/20/ 20:13:58,+UUDF:CCF957966B2C,:CCF957966B2C,-68,0,52,0,37,0,134,200,100,1
2022/09/20/ 20:13:59,+UUDF:CCF957966B2C,:CCF957966B2C,-68,0,52,0,37,0,134,200,100,1
2022/09/20/ 20:13:59,+UUDF:CCF957966B2C,:CCF957966B2C,-69,0,52,0,38,0,134,200,100,1
