Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/22/ 13:58:37,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-14,-14,0,37,0,134,160,100,1
2022/09/22/ 13:58:37,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,-14,0,38,0,134,160,100,1
2022/09/22/ 13:58:37,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-14,-14,0,37,0,134,160,100,1
2022/09/22/ 13:58:38,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,-14,0,38,0,134,160,100,1
2022/09/22/ 13:58:38,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-14,-14,0,37,0,134,160,100,1
2022/09/22/ 13:58:39,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,-14,0,38,0,134,160,100,1
2022/09/22/ 13:58:39,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-14,-14,0,37,0,134,160,100,1
2022/09/22/ 13:58:40,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,-15,0,38,0,134,160,100,1
2022/09/22/ 13:58:40,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,-15,0,38,0,134,160,100,1
2022/09/22/ 13:58:40,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-14,-15,0,37,0,134,160,100,1
2022/09/22/ 13:58:41,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-14,-15,0,38,0,134,160,100,1
2022/09/22/ 13:58:41,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:42,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:42,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,-18,0,39,0,134,160,100,1
2022/09/22/ 13:58:43,+UUDF:CCF957966B2C,:CCF957966B2C,-68,6,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:43,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,-18,0,39,0,134,160,100,1
2022/09/22/ 13:58:44,+UUDF:CCF957966B2C,:CCF957966B2C,-67,6,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:44,+UUDF:CCF957966B2C,:CCF957966B2C,-68,6,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:44,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,-19,0,39,0,134,160,100,1
2022/09/22/ 13:58:45,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,-19,0,37,0,134,160,100,1
2022/09/22/ 13:58:45,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:46,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,-19,0,39,0,134,160,100,1
2022/09/22/ 13:58:46,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,-19,0,37,0,134,160,100,1
2022/09/22/ 13:58:47,+UUDF:CCF957966B2C,:CCF957966B2C,-68,6,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:47,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,-19,0,39,0,134,160,100,1
2022/09/22/ 13:58:48,+UUDF:CCF957966B2C,:CCF957966B2C,-66,6,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:48,+UUDF:CCF957966B2C,:CCF957966B2C,-69,6,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:48,+UUDF:CCF957966B2C,:CCF957966B2C,-63,6,-19,0,39,0,134,160,100,1
2022/09/22/ 13:58:49,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:49,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:50,+UUDF:CCF957966B2C,:CCF957966B2C,-63,7,-19,0,39,0,134,160,100,1
2022/09/22/ 13:58:50,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:51,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:51,+UUDF:CCF957966B2C,:CCF957966B2C,-63,7,-18,0,39,0,134,160,100,1
2022/09/22/ 13:58:52,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:52,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:52,+UUDF:CCF957966B2C,:CCF957966B2C,-63,7,-18,0,39,0,134,160,100,1
2022/09/22/ 13:58:53,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-18,0,37,0,134,160,100,1
2022/09/22/ 13:58:53,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-18,0,38,0,134,160,100,1
2022/09/22/ 13:58:54,+UUDF:CCF957966B2C,:CCF957966B2C,-63,7,-18,0,39,0,134,160,100,1
2022/09/22/ 13:58:54,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:58:55,+UUDF:CCF957966B2C,:CCF957966B2C,-65,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:58:55,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:58:56,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:58:56,+UUDF:CCF957966B2C,:CCF957966B2C,-65,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:58:56,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:58:57,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:58:57,+UUDF:CCF957966B2C,:CCF957966B2C,-63,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:58:58,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:58:58,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:58:59,+UUDF:CCF957966B2C,:CCF957966B2C,-63,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:58:59,+UUDF:CCF957966B2C,:CCF957966B2C,-67,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:58:59,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:59:00,+UUDF:CCF957966B2C,:CCF957966B2C,-62,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:00,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:59:01,+UUDF:CCF957966B2C,:CCF957966B2C,-69,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:59:01,+UUDF:CCF957966B2C,:CCF957966B2C,-62,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:02,+UUDF:CCF957966B2C,:CCF957966B2C,-65,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:59:02,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:59:03,+UUDF:CCF957966B2C,:CCF957966B2C,-62,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:03,+UUDF:CCF957966B2C,:CCF957966B2C,-65,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:59:03,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:59:04,+UUDF:CCF957966B2C,:CCF957966B2C,-62,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:04,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-17,0,37,0,134,160,100,1
2022/09/22/ 13:59:05,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-17,0,38,0,134,160,100,1
2022/09/22/ 13:59:05,+UUDF:CCF957966B2C,:CCF957966B2C,-62,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:06,+UUDF:CCF957966B2C,:CCF957966B2C,-66,7,-16,0,37,0,134,160,100,1
2022/09/22/ 13:59:06,+UUDF:CCF957966B2C,:CCF957966B2C,-68,7,-16,0,38,0,134,160,100,1
2022/09/22/ 13:59:07,+UUDF:CCF957966B2C,:CCF957966B2C,-62,7,-16,0,39,0,134,160,100,1
2022/09/22/ 13:59:07,+UUDF:CCF957966B2C,:CCF957966B2C,-65,7,-16,0,37,0,134,160,100,1
2022/09/22/ 13:59:07,+UUDF:CCF957966B2C,:CCF957966B2C,-68,8,-17,0,38,0,134,160,100,1
2022/09/22/ 13:59:08,+UUDF:CCF957966B2C,:CCF957966B2C,-62,8,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:08,+UUDF:CCF957966B2C,:CCF957966B2C,-65,8,-17,0,37,0,134,160,100,1
2022/09/22/ 13:59:09,+UUDF:CCF957966B2C,:CCF957966B2C,-61,7,-17,0,39,0,134,160,100,1
2022/09/22/ 13:59:09,+UUDF:CCF957966B2C,:CCF957966B2C,-67,8,-16,0,37,0,134,160,100,1
2022/09/22/ 13:59:10,+UUDF:CCF957966B2C,:CCF957966B2C,-68,8,-16,0,38,0,134,160,100,1
