Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 00:39:46,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:39:46,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:39:46,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:39:47,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,1,0,37,1,134,110,130,0
2022/09/20/ 00:39:48,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-2,0,0,38,1,134,110,130,0
2022/09/20/ 00:39:48,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-2,0,0,39,1,134,110,130,0
2022/09/20/ 00:39:49,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,0,0,37,1,134,110,130,0
2022/09/20/ 00:39:49,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-2,0,0,38,1,134,110,130,0
2022/09/20/ 00:39:50,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:39:50,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,0,0,37,1,134,110,130,0
2022/09/20/ 00:39:50,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-2,0,0,38,1,134,110,130,0
2022/09/20/ 00:39:51,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:39:52,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:39:52,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:39:53,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,2,0,39,1,134,110,130,0
2022/09/20/ 00:39:53,+UUDF:CCF957966B2C,:CCF957966B2C,-64,0,2,0,37,1,134,110,130,0
