Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/20/ 21:14:21,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,53,0,38,1,134,180,100,0
2022/09/20/ 21:14:22,+UUDF:CCF957966B2C,:CCF957966B2C,-65,0,53,0,39,1,134,180,100,0
2022/09/20/ 21:14:22,+UUDF:CCF957966B2C,:CCF957966B2C,-87,0,53,0,37,1,134,180,100,0
2022/09/20/ 21:14:23,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,53,0,38,1,134,180,100,0
2022/09/20/ 21:14:23,+UUDF:CCF957966B2C,:CCF957966B2C,-87,0,53,0,37,1,134,180,100,0
2022/09/20/ 21:14:24,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-1,53,0,38,1,134,180,100,0
2022/09/20/ 21:14:24,+UUDF:CCF957966B2C,:CCF957966B2C,-87,0,53,0,37,1,134,180,100,0
2022/09/20/ 21:14:25,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,53,0,38,1,134,180,100,0
2022/09/20/ 21:14:25,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,53,0,39,1,134,180,100,0
2022/09/20/ 21:14:25,+UUDF:CCF957966B2C,:CCF957966B2C,-87,0,53,0,37,1,134,180,100,0
2022/09/20/ 21:14:26,+UUDF:CCF957966B2C,:CCF957966B2C,-62,0,53,0,38,1,134,180,100,0
2022/09/20/ 21:14:26,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-24,-25,0,37,1,134,180,100,0
2022/09/20/ 21:14:27,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:27,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:28,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:28,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:29,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-25,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:29,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-25,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:29,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-25,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:30,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-25,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:30,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-25,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:31,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-25,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:31,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:32,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:32,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:33,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:33,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:33,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:34,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:34,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-23,0,38,1,134,180,100,0
2022/09/20/ 21:14:35,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-23,0,37,1,134,180,100,0
2022/09/20/ 21:14:35,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-23,0,38,1,134,180,100,0
2022/09/20/ 21:14:36,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:36,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-23,0,38,1,134,180,100,0
2022/09/20/ 21:14:37,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:37,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-24,-23,0,38,1,134,180,100,0
2022/09/20/ 21:14:38,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-24,-23,0,38,1,134,180,100,0
2022/09/20/ 21:14:38,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-23,0,37,1,134,180,100,0
2022/09/20/ 21:14:38,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:39,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:39,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-24,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:40,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-23,-24,0,38,1,134,180,100,0
2022/09/20/ 21:14:40,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-23,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:41,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-23,-24,0,37,1,134,180,100,0
2022/09/20/ 21:14:41,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-23,-24,0,38,1,134,180,100,0
