Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/17/ 15:41:58,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:41:58,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:41:59,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:41:59,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:00,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:00,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:01,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:42:01,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:42:02,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:42:02,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:03,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:03,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:42:04,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:04,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:42:05,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:05,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:42:06,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:42:06,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:42:07,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-8,-22,0,38,1,134,25,130,0
2022/09/17/ 15:42:08,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:42:08,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:08,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:42:09,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:09,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,38,1,134,25,130,0
2022/09/17/ 15:42:10,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:10,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:42:11,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:12,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:42:12,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:12,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:42:13,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:13,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:42:14,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:42:14,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:42:15,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-21,0,38,1,134,25,130,0
2022/09/17/ 15:42:15,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-21,0,37,1,134,25,130,0
2022/09/17/ 15:42:16,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-7,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:16,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-7,-22,0,39,1,134,25,130,0
2022/09/17/ 15:42:17,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,-21,0,39,1,134,25,130,0
2022/09/17/ 15:42:17,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-6,-22,0,37,1,134,25,130,0
2022/09/17/ 15:42:18,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-6,-22,0,38,1,134,25,130,0
2022/09/17/ 15:42:18,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-22,0,37,1,134,25,130,0
