Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/19/ 03:14:31,+UUDF:CCF957966B2C,:CCF957966B2C,-63,9,27,0,39,1,134,90,130,0
2022/09/19/ 03:14:32,+UUDF:CCF957966B2C,:CCF957966B2C,-71,9,27,0,37,1,134,90,130,0
2022/09/19/ 03:14:32,+UUDF:CCF957966B2C,:CCF957966B2C,-65,9,28,0,38,1,134,90,130,0
2022/09/19/ 03:14:33,+UUDF:CCF957966B2C,:CCF957966B2C,-60,9,27,0,39,1,134,90,130,0
2022/09/19/ 03:14:33,+UUDF:CCF957966B2C,:CCF957966B2C,-64,9,28,0,38,1,134,90,130,0
2022/09/19/ 03:14:34,+UUDF:CCF957966B2C,:CCF957966B2C,-60,9,28,0,39,1,134,90,130,0
2022/09/19/ 03:14:34,+UUDF:CCF957966B2C,:CCF957966B2C,-71,9,28,0,37,1,134,90,130,0
2022/09/19/ 03:14:34,+UUDF:CCF957966B2C,:CCF957966B2C,-65,9,28,0,38,1,134,90,130,0
2022/09/19/ 03:14:35,+UUDF:CCF957966B2C,:CCF957966B2C,-71,9,28,0,37,1,134,90,130,0
2022/09/19/ 03:14:35,+UUDF:CCF957966B2C,:CCF957966B2C,-65,9,28,0,38,1,134,90,130,0
2022/09/19/ 03:14:36,+UUDF:CCF957966B2C,:CCF957966B2C,-60,9,28,0,39,1,134,90,130,0
2022/09/19/ 03:14:36,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-2,0,37,1,134,90,130,0
2022/09/19/ 03:14:37,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-2,0,39,1,134,90,130,0
2022/09/19/ 03:14:37,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-2,0,37,1,134,90,130,0
2022/09/19/ 03:14:38,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-2,0,38,1,134,90,130,0
2022/09/19/ 03:14:38,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-2,0,37,1,134,90,130,0
2022/09/19/ 03:14:39,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-2,0,38,1,134,90,130,0
2022/09/19/ 03:14:39,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-8,-2,0,39,1,134,90,130,0
2022/09/19/ 03:14:40,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-2,0,37,1,134,90,130,0
2022/09/19/ 03:14:40,+UUDF:CCF957966B2C,:CCF957966B2C,-47,-8,-2,0,39,1,134,90,130,0
2022/09/19/ 03:14:40,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-2,0,37,1,134,90,130,0
2022/09/19/ 03:14:41,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-2,0,38,1,134,90,130,0
2022/09/19/ 03:14:41,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-8,-2,0,39,1,134,90,130,0
