Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:09:20,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-8,-6,0,37,1,134,30,130,0
2022/09/17/ 16:09:21,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-12,0,38,1,134,30,130,0
2022/09/17/ 16:09:21,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-9,-12,0,37,1,134,30,130,0
2022/09/17/ 16:09:21,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-8,-6,0,37,1,134,30,130,0
2022/09/17/ 16:09:22,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-8,-6,0,37,1,134,30,130,0
2022/09/17/ 16:09:22,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-6,0,38,1,134,30,130,0
2022/09/17/ 16:09:23,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-7,-5,0,37,1,134,30,130,0
2022/09/17/ 16:09:23,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-7,-5,0,37,1,134,30,130,0
2022/09/17/ 16:09:24,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-7,-5,0,38,1,134,30,130,0
2022/09/17/ 16:09:24,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-7,-5,0,37,1,134,30,130,0
2022/09/17/ 16:09:25,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:25,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:26,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:26,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:26,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:27,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:27,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:28,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:28,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:29,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:29,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:30,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:30,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:30,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:31,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:31,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:09:32,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:32,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:33,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:33,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:34,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:34,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:35,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:35,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:35,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:36,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:36,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:37,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:37,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:38,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:38,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:40,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:40,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:41,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:41,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:43,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
