,Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
20883,2022/09/23/ 15:51:32,:CCF957966B2C,-54,-3,-26,38,1.0,134,90,100,0.0
20884,2022/09/23/ 15:51:33,:CCF957966B2C,-61,-3,-26,37,1.0,134,90,100,0.0
20885,2022/09/23/ 15:51:33,:CCF957966B2C,-54,-3,-26,38,1.0,134,90,100,0.0
20886,2022/09/23/ 15:51:34,:CCF957966B2C,-65,-3,-26,37,1.0,134,90,100,0.0
20887,2022/09/23/ 15:51:34,:CCF957966B2C,-54,-3,-26,38,1.0,134,90,100,0.0
20888,2022/09/23/ 15:51:35,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20889,2022/09/23/ 15:51:36,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20890,2022/09/23/ 15:51:36,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20891,2022/09/23/ 15:51:37,:CCF957966B2C,-60,-2,-20,37,1.0,134,90,100,0.0
20892,2022/09/23/ 15:51:37,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20893,2022/09/23/ 15:51:37,:CCF957966B2C,-60,-2,-20,37,1.0,134,90,100,0.0
20894,2022/09/23/ 15:51:38,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20895,2022/09/23/ 15:51:38,:CCF957966B2C,-62,-2,-20,37,1.0,134,90,100,0.0
20896,2022/09/23/ 15:51:39,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20897,2022/09/23/ 15:51:40,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20898,2022/09/23/ 15:51:40,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20899,2022/09/23/ 15:51:41,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20900,2022/09/23/ 15:51:41,:CCF957966B2C,-62,-2,-20,37,1.0,134,90,100,0.0
20901,2022/09/23/ 15:51:42,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20902,2022/09/23/ 15:51:42,:CCF957966B2C,-58,-2,-20,37,1.0,134,90,100,0.0
20903,2022/09/23/ 15:51:42,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20904,2022/09/23/ 15:51:43,:CCF957966B2C,-61,-2,-20,37,1.0,134,90,100,0.0
20905,2022/09/23/ 15:51:44,:CCF957966B2C,-61,-2,-19,37,1.0,134,90,100,0.0
20906,2022/09/23/ 15:51:44,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20907,2022/09/23/ 15:51:45,:CCF957966B2C,-61,-2,-19,37,1.0,134,90,100,0.0
20908,2022/09/23/ 15:51:45,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20909,2022/09/23/ 15:51:46,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20910,2022/09/23/ 15:51:46,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20911,2022/09/23/ 15:51:47,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20912,2022/09/23/ 15:51:47,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20913,2022/09/23/ 15:51:48,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20914,2022/09/23/ 15:51:48,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20915,2022/09/23/ 15:51:49,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20916,2022/09/23/ 15:51:49,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20917,2022/09/23/ 15:51:50,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20918,2022/09/23/ 15:51:50,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20919,2022/09/23/ 15:51:51,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20920,2022/09/23/ 15:51:51,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20921,2022/09/23/ 15:51:51,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20922,2022/09/23/ 15:51:52,:CCF957966B2C,-60,-1,-21,37,1.0,134,90,100,0.0
20923,2022/09/23/ 15:51:53,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20924,2022/09/23/ 15:51:53,:CCF957966B2C,-63,-1,-21,37,1.0,134,90,100,0.0
20925,2022/09/23/ 15:51:54,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20926,2022/09/23/ 15:51:54,:CCF957966B2C,-65,-1,-21,37,1.0,134,90,100,0.0
20927,2022/09/23/ 15:51:55,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20928,2022/09/23/ 15:51:55,:CCF957966B2C,-61,-1,-21,37,1.0,134,90,100,0.0
20929,2022/09/23/ 15:51:55,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20930,2022/09/23/ 15:51:56,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20931,2022/09/23/ 15:51:57,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20932,2022/09/23/ 15:51:57,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20933,2022/09/23/ 15:51:58,:CCF957966B2C,-60,-2,-26,37,1.0,134,90,100,0.0
20934,2022/09/23/ 15:51:58,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20935,2022/09/23/ 15:51:59,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20936,2022/09/23/ 15:51:59,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20937,2022/09/23/ 15:52:00,:CCF957966B2C,-58,-2,-26,37,1.0,134,90,100,0.0
20938,2022/09/23/ 15:52:00,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20939,2022/09/23/ 15:52:01,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20940,2022/09/23/ 15:52:01,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20941,2022/09/23/ 15:52:02,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20942,2022/09/23/ 15:52:02,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20943,2022/09/23/ 15:52:03,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20944,2022/09/23/ 15:52:03,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20945,2022/09/23/ 15:52:04,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20946,2022/09/23/ 15:52:04,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20947,2022/09/23/ 15:52:05,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20948,2022/09/23/ 15:52:05,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20949,2022/09/23/ 15:52:06,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20950,2022/09/23/ 15:52:06,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20951,2022/09/23/ 15:52:07,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20952,2022/09/23/ 15:52:07,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20953,2022/09/23/ 15:52:08,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20954,2022/09/23/ 15:52:08,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20955,2022/09/23/ 15:52:09,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20956,2022/09/23/ 15:52:09,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20957,2022/09/23/ 15:52:10,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20958,2022/09/23/ 15:52:10,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20959,2022/09/23/ 15:52:11,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20960,2022/09/23/ 15:52:11,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20961,2022/09/23/ 15:52:12,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20962,2022/09/23/ 15:52:12,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20963,2022/09/23/ 15:52:13,:CCF957966B2C,-61,-2,-27,37,1.0,134,90,100,0.0
20964,2022/09/23/ 15:52:14,:CCF957966B2C,-53,-2,-27,38,1.0,134,90,100,0.0
20965,2022/09/23/ 15:52:14,:CCF957966B2C,-63,-2,-27,37,1.0,134,90,100,0.0
20966,2022/09/23/ 15:52:14,:CCF957966B2C,-54,-2,-27,38,1.0,134,90,100,0.0
20967,2022/09/23/ 15:52:15,:CCF957966B2C,-60,-2,-27,37,1.0,134,90,100,0.0
20968,2022/09/23/ 15:52:15,:CCF957966B2C,-54,-2,-27,38,1.0,134,90,100,0.0
20969,2022/09/23/ 15:52:16,:CCF957966B2C,-61,-2,-27,37,1.0,134,90,100,0.0
20970,2022/09/23/ 15:52:16,:CCF957966B2C,-54,-2,-27,38,1.0,134,90,100,0.0
20971,2022/09/23/ 15:52:17,:CCF957966B2C,-65,-1,-26,37,1.0,134,90,100,0.0
20972,2022/09/23/ 15:52:18,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20973,2022/09/23/ 15:52:18,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
20974,2022/09/23/ 15:52:19,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20975,2022/09/23/ 15:52:19,:CCF957966B2C,-62,-1,-26,37,1.0,134,90,100,0.0
20976,2022/09/23/ 15:52:19,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20977,2022/09/23/ 15:52:20,:CCF957966B2C,-59,-1,-26,37,1.0,134,90,100,0.0
20978,2022/09/23/ 15:52:20,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20979,2022/09/23/ 15:52:21,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20980,2022/09/23/ 15:52:22,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20981,2022/09/23/ 15:52:22,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20982,2022/09/23/ 15:52:23,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20983,2022/09/23/ 15:52:23,:CCF957966B2C,-53,-1,-26,38,1.0,134,90,100,0.0
20984,2022/09/23/ 15:52:24,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20985,2022/09/23/ 15:52:24,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20986,2022/09/23/ 15:52:24,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20987,2022/09/23/ 15:52:25,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20988,2022/09/23/ 15:52:26,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
20989,2022/09/23/ 15:52:26,:CCF957966B2C,-53,-1,-26,38,1.0,134,90,100,0.0
20990,2022/09/23/ 15:52:27,:CCF957966B2C,-65,-1,-26,37,1.0,134,90,100,0.0
20991,2022/09/23/ 15:52:27,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20992,2022/09/23/ 15:52:28,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20993,2022/09/23/ 15:52:28,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20994,2022/09/23/ 15:52:29,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
20995,2022/09/23/ 15:52:29,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20996,2022/09/23/ 15:52:29,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
20997,2022/09/23/ 15:52:30,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20998,2022/09/23/ 15:52:30,:CCF957966B2C,-58,-1,-20,37,1.0,134,90,100,0.0
20999,2022/09/23/ 15:52:31,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21000,2022/09/23/ 15:52:31,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21001,2022/09/23/ 15:52:32,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21002,2022/09/23/ 15:52:32,:CCF957966B2C,-62,-1,-20,37,1.0,134,90,100,0.0
21003,2022/09/23/ 15:52:33,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
