,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,-46,-40,38,170,82,1,160
1,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-54,-46,-40,39,170,82,1,160
2,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-67,-46,-40,37,170,82,1,160
3,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,-46,-40,38,170,82,1,160
4,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-55,-46,-40,39,170,82,1,160
5,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,-46,-40,37,170,82,1,160
6,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,-46,-40,38,170,82,1,160
7,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-55,-46,-40,39,170,82,1,160
8,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,-46,-40,37,170,82,1,160
9,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,-46,-40,38,170,82,1,160
10,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,-46,-38,37,170,82,1,160
11,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,-46,-38,38,170,82,1,160
12,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-74,-46,-38,37,170,82,1,160
13,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,-46,-38,38,170,82,1,160
14,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-58,-46,-38,39,170,82,1,160
15,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-75,-46,-38,37,170,82,1,160
16,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-71,-46,-38,38,170,82,1,160
17,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-56,-46,-38,39,170,82,1,160
18,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,-46,-38,37,170,82,1,160
19,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-67,-46,-38,38,170,82,1,160
20,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-53,-44,-38,39,170,82,1,160
21,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-62,-44,-38,37,170,82,1,160
22,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,-44,-38,38,170,82,1,160
23,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-50,-44,-38,39,170,82,1,160
24,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,-44,-38,37,170,82,1,160
25,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-53,-44,-40,39,170,82,1,160
26,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-70,-44,-40,37,170,82,1,160
27,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,-44,-40,38,170,82,1,160
28,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-80,-44,-40,37,170,82,1,160
29,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,-44,-40,38,170,82,1,160
30,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-59,-44,-40,39,170,82,1,160
31,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-71,-44,-40,37,170,82,1,160
32,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-70,-44,-40,37,170,82,1,160
33,2022/12/05/ 19:39:16,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,-44,-42,38,170,82,1,160
