,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,27,-10,39,170,216,1,120
1,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,27,-10,37,170,216,1,120
2,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,27,-10,39,170,216,1,120
3,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,27,-10,37,170,216,1,120
4,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,27,-10,38,170,216,1,120
5,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,27,-10,39,170,216,1,120
6,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,27,-10,37,170,216,1,120
7,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,27,-10,38,170,216,1,120
8,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,27,-10,39,170,216,1,120
9,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,27,-10,37,170,216,1,120
10,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,27,25,39,170,216,1,120
11,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,27,25,37,170,216,1,120
12,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-75,28,25,38,170,216,1,120
13,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,28,25,39,170,216,1,120
14,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-74,28,25,38,170,216,1,120
15,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,27,25,37,170,216,1,120
16,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,27,25,38,170,216,1,120
17,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,26,23,37,170,216,1,120
18,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-78,26,23,38,170,216,1,120
19,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,27,25,39,170,216,1,120
20,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,27,25,37,170,216,1,120
21,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,27,25,37,170,216,1,120
22,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,26,23,38,170,216,1,120
23,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-75,26,23,38,170,216,1,120
24,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,26,15,37,170,216,1,120
25,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,26,23,39,170,216,1,120
26,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,25,15,37,170,216,1,120
27,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,23,15,38,170,216,1,120
28,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,23,15,39,170,216,1,120
29,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,23,15,38,170,216,1,120
30,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,15,37,170,216,1,120
31,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,23,15,38,170,216,1,120
32,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,23,14,37,170,216,1,120
33,2022/12/08/ 21:34:57,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,22,15,38,170,216,1,120
34,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,22,14,37,170,216,1,120
35,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,22,12,37,170,216,1,120
36,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,22,12,38,170,216,1,120
37,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,22,12,38,170,216,1,120
38,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,22,12,37,170,216,1,120
39,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,21,12,38,170,216,1,120
40,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,21,11,37,170,216,1,120
41,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,22,11,38,170,216,1,120
42,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,22,12,39,170,216,1,120
43,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-73,22,14,38,170,216,1,120
44,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,17,39,170,216,1,120
45,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,23,17,37,170,216,1,120
46,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-74,23,17,38,170,216,1,120
47,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,23,17,37,170,216,1,120
48,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-75,23,17,38,170,216,1,120
49,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,18,39,170,216,1,120
50,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,23,18,37,170,216,1,120
51,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,23,18,38,170,216,1,120
52,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,23,18,37,170,216,1,120
53,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-77,22,18,38,170,216,1,120
54,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,18,39,170,216,1,120
55,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,22,18,37,170,216,1,120
56,2022/12/08/ 21:34:58,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,18,39,170,216,1,120
