,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,38,170,117,1,160
1,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,37,170,117,1,160
2,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,38,170,117,1,160
3,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,37,170,117,1,160
4,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,38,170,117,1,160
5,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,37,170,117,1,160
6,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,38,170,117,1,160
7,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,37,170,117,1,160
8,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,38,170,117,1,160
9,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,37,170,117,1,160
10,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,34,-41,38,170,117,1,160
11,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-60,33,-42,39,170,117,1,160
12,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-56,33,-42,37,170,117,1,160
13,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-52,33,-42,38,170,117,1,160
14,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,33,-41,39,170,117,1,160
15,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-54,33,-41,37,170,117,1,160
16,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-52,33,-41,38,170,117,1,160
17,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,33,-40,39,170,117,1,160
18,2022/12/05/ 06:41:46,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-52,33,-40,38,170,117,1,160
