,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,25,-39,37,170,383,0,160
1,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,26,-39,38,170,383,0,160
2,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,26,-39,39,170,383,0,160
3,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,26,-39,37,170,383,0,160
4,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,26,-39,39,170,383,0,160
5,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,25,-39,37,170,383,0,160
6,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,26,-39,38,170,383,0,160
7,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,26,-39,39,170,383,0,160
8,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,26,-39,38,170,383,0,160
9,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-55,26,-39,39,170,383,0,160
10,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,26,-39,37,170,383,0,160
11,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-39,37,170,383,0,160
12,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-39,37,170,383,0,160
13,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-39,38,170,383,0,160
14,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-39,38,170,383,0,160
15,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-39,37,170,383,0,160
16,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-40,38,170,383,0,160
17,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,23,-40,37,170,383,0,160
18,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-40,38,170,383,0,160
19,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-40,37,170,383,0,160
20,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-40,37,170,383,0,160
21,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,23,-40,38,170,383,0,160
22,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-40,39,170,383,0,160
23,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,22,-40,37,170,383,0,160
24,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,22,-40,38,170,383,0,160
25,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,22,-40,37,170,383,0,160
26,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,22,-40,39,170,383,0,160
27,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,22,-40,37,170,383,0,160
28,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,22,-40,38,170,383,0,160
29,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,22,-40,39,170,383,0,160
30,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,22,-40,37,170,383,0,160
31,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,22,-40,37,170,383,0,160
32,2022/12/05/ 03:47:13,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,22,-40,38,170,383,0,160
33,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,22,-40,38,170,383,0,160
34,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,22,-41,37,170,383,0,160
35,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-41,38,170,383,0,160
36,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-40,39,170,383,0,160
37,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-40,38,170,383,0,160
38,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,23,-40,39,170,383,0,160
39,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-40,37,170,383,0,160
40,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-40,39,170,383,0,160
41,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-40,37,170,383,0,160
42,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-39,38,170,383,0,160
43,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-39,38,170,383,0,160
44,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-40,37,170,383,0,160
45,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-39,39,170,383,0,160
46,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-40,37,170,383,0,160
47,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,23,-39,38,170,383,0,160
48,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,23,-39,38,170,383,0,160
49,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-38,39,170,383,0,160
50,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-39,37,170,383,0,160
51,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-39,38,170,383,0,160
52,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,23,-38,37,170,383,0,160
53,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-38,38,170,383,0,160
54,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,24,-37,39,170,383,0,160
55,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,25,-37,37,170,383,0,160
56,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,25,-37,39,170,383,0,160
57,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,25,-37,37,170,383,0,160
58,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,25,-37,38,170,383,0,160
59,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,25,-37,38,170,383,0,160
60,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,25,-37,37,170,383,0,160
61,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,25,-37,38,170,383,0,160
62,2022/12/05/ 03:47:14,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,25,-38,37,170,383,0,160
63,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,25,-38,38,170,383,0,160
64,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,25,-38,37,170,383,0,160
65,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,25,-39,38,170,383,0,160
66,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,25,-39,37,170,383,0,160
67,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-39,38,170,383,0,160
68,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,22,-39,38,170,383,0,160
69,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,23,-39,37,170,383,0,160
70,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,23,-39,38,170,383,0,160
71,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,23,-39,37,170,383,0,160
72,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,22,-39,38,170,383,0,160
73,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,20,-39,38,170,383,0,160
74,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,20,-39,37,170,383,0,160
75,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,20,-39,38,170,383,0,160
76,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,20,-39,37,170,383,0,160
77,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,20,-39,37,170,383,0,160
78,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,20,-39,38,170,383,0,160
79,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,20,-39,37,170,383,0,160
80,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,20,-39,38,170,383,0,160
81,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,20,-39,37,170,383,0,160
82,2022/12/05/ 03:47:15,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,20,-40,37,170,383,0,160
